Id,BinCenters,BinCount_GFP_MEFL,BinCount_RFP_MEFL
Ara 1000 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,314
,7.079,0,613
,8.913,0,537
,11.22,0,1071
,14.13,0,1056
,17.78,1,1481
,22.39,8,1624
,28.18,2,1877
,35.48,6,2221
,44.67,8,2768
,56.23,5,3334
,70.79,5,3950
,89.13,9,4261
,112.2,22,4393
,141.3,22,3880
,177.8,19,3237
,223.9,32,2656
,281.8,28,1945
,354.8,45,1448
,446.7,53,1138
,562.3,59,929
,707.9,66,796
,891.3,72,691
,1122,77,574
,1413,83,433
,1778,115,266
,2239,101,168
,2818,163,89
,3548,168,53
,4467,221,24
,5623,231,9
,7079,310,4
,8913,430,2
,11220,626,1
,14130,810,0
,17780,1211,0
,22390,1706,0
,28180,2578,0
,35480,3764,0
,44670,5069,0
,56230,6380,0
,70790,6641,0
,89130,5585,0
,112200,4226,0
,141300,2512,0
,177800,1182,0
,223900,526,0
,281800,244,0
,354800,105,0
,446700,21,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,305
,7.079,0,593
,8.913,0,558
,11.22,0,1136
,14.13,0,1113
,17.78,1,1539
,22.39,6,1699
,28.18,5,2048
,35.48,6,2520
,44.67,11,3028
,56.23,14,3537
,70.79,16,4276
,89.13,13,4486
,112.2,25,4379
,141.3,30,3684
,177.8,47,2992
,223.9,36,2517
,281.8,61,1855
,354.8,82,1489
,446.7,90,1217
,562.3,134,928
,707.9,167,906
,891.3,170,854
,1122,202,683
,1413,281,599
,1778,278,400
,2239,254,197
,2818,192,110
,3548,229,48
,4467,221,23
,5623,208,10
,7079,226,2
,8913,319,1
,11220,388,0
,14130,693,1
,17780,1092,0
,22390,2029,0
,28180,3131,0
,35480,4847,0
,44670,6208,0
,56230,7108,0
,70790,6717,0
,89130,5118,0
,112200,3371,0
,141300,2053,0
,177800,896,0
,223900,426,0
,281800,193,0
,354800,57,0
,446700,13,0
,562300,3,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,239
,7.079,0,449
,8.913,0,468
,11.22,0,789
,14.13,0,769
,17.78,0,1172
,22.39,6,1344
,28.18,7,1707
,35.48,7,2087
,44.67,10,2493
,56.23,8,2903
,70.79,17,3527
,89.13,15,3651
,112.2,21,3662
,141.3,39,3483
,177.8,29,3080
,223.9,38,2477
,281.8,65,1936
,354.8,65,1548
,446.7,78,1276
,562.3,115,1137
,707.9,160,1034
,891.3,162,975
,1122,197,885
,1413,228,738
,1778,228,442
,2239,244,266
,2818,191,130
,3548,171,44
,4467,179,20
,5623,210,4
,7079,252,7
,8913,382,3
,11220,527,0
,14130,837,0
,17780,1249,0
,22390,1773,1
,28180,2690,0
,35480,3738,0
,44670,5006,0
,56230,6062,0
,70790,6296,0
,89130,5378,0
,112200,3972,0
,141300,2465,0
,177800,1192,0
,223900,521,0
,281800,284,0
,354800,96,0
,446700,17,0
,562300,2,0
,707900,1,0
,891300,0,0
Ara  100 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,310
,7.079,0,713
,8.913,0,659
,11.22,0,1343
,14.13,0,1266
,17.78,8,1927
,22.39,36,2090
,28.18,24,2524
,35.48,39,2780
,44.67,46,3271
,56.23,55,3574
,70.79,69,3925
,89.13,100,4041
,112.2,112,3784
,141.3,162,3542
,177.8,174,3105
,223.9,207,2849
,281.8,252,2753
,354.8,355,2433
,446.7,408,2210
,562.3,445,2031
,707.9,562,1865
,891.3,595,1522
,1122,794,1249
,1413,921,987
,1778,1155,608
,2239,1359,342
,2818,1624,171
,3548,1867,69
,4467,2066,38
,5623,2486,14
,7079,2735,6
,8913,3160,2
,11220,3683,2
,14130,4297,1
,17780,4462,0
,22390,4475,0
,28180,4536,0
,35480,4570,1
,44670,4373,0
,56230,3860,0
,70790,3049,0
,89130,2171,0
,112200,1228,0
,141300,683,0
,177800,273,0
,223900,128,0
,281800,61,0
,354800,16,0
,446700,2,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,273
,7.079,0,587
,8.913,0,589
,11.22,0,1154
,14.13,0,1139
,17.78,4,1770
,22.39,19,1923
,28.18,28,2342
,35.48,40,2662
,44.67,31,3117
,56.23,50,3423
,70.79,65,3744
,89.13,64,3996
,112.2,93,3890
,141.3,105,3727
,177.8,137,3554
,223.9,162,3322
,281.8,212,3041
,354.8,279,2852
,446.7,339,2622
,562.3,496,2520
,707.9,543,2108
,891.3,652,1665
,1122,832,1185
,1413,1082,821
,1778,1455,482
,2239,1744,269
,2818,2048,150
,3548,2492,83
,4467,2644,33
,5623,2873,10
,7079,3094,5
,8913,3194,3
,11220,3463,4
,14130,3909,2
,17780,4191,0
,22390,4222,2
,28180,4235,0
,35480,4579,0
,44670,4271,0
,56230,3710,0
,70790,2943,0
,89130,2076,0
,112200,1170,0
,141300,629,0
,177800,251,0
,223900,124,0
,281800,37,0
,354800,21,0
,446700,2,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,273
,7.079,0,518
,8.913,0,506
,11.22,0,1006
,14.13,0,1030
,17.78,5,1616
,22.39,19,1789
,28.18,20,2110
,35.48,32,2405
,44.67,37,2906
,56.23,40,3192
,70.79,72,3625
,89.13,67,3978
,112.2,102,3906
,141.3,104,3933
,177.8,130,3757
,223.9,165,3541
,281.8,212,3322
,354.8,267,2997
,446.7,340,2618
,562.3,431,2258
,707.9,516,1802
,891.3,562,1372
,1122,757,1056
,1413,867,697
,1778,1046,505
,2239,1267,281
,2818,1525,158
,3548,1795,90
,4467,2043,34
,5623,2429,10
,7079,2613,9
,8913,3106,7
,11220,3690,1
,14130,4099,2
,17780,4672,0
,22390,4699,1
,28180,4831,0
,35480,4604,1
,44670,4277,0
,56230,3811,0
,70790,2962,0
,89130,2249,0
,112200,1311,0
,141300,663,0
,177800,315,0
,223900,150,0
,281800,52,0
,354800,14,0
,446700,1,0
,562300,1,0
,707900,0,0
,891300,0,0
Ara   50 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,199
,7.079,0,383
,8.913,0,410
,11.22,0,774
,14.13,0,729
,17.78,6,1054
,22.39,34,1203
,28.18,30,1515
,35.48,36,1747
,44.67,41,2043
,56.23,59,2326
,70.79,82,2640
,89.13,98,2968
,112.2,142,3106
,141.3,172,3077
,177.8,190,3174
,223.9,271,3297
,281.8,292,3212
,354.8,405,3403
,446.7,514,3362
,562.3,638,3372
,707.9,792,3234
,891.3,1052,2850
,1122,1241,2442
,1413,1566,1860
,1778,1948,1127
,2239,2391,583
,2818,2867,254
,3548,3425,115
,4467,3918,49
,5623,4257,22
,7079,4358,12
,8913,4654,4
,11220,4883,2
,14130,4823,2
,17780,4295,0
,22390,3610,1
,28180,2864,1
,35480,2315,0
,44670,1616,0
,56230,1159,0
,70790,724,0
,89130,464,0
,112200,262,0
,141300,124,0
,177800,42,0
,223900,19,0
,281800,7,0
,354800,3,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,214
,7.079,0,384
,8.913,0,422
,11.22,0,725
,14.13,0,784
,17.78,4,1084
,22.39,21,1259
,28.18,18,1576
,35.48,34,1782
,44.67,48,2267
,56.23,47,2465
,70.79,63,2782
,89.13,94,3070
,112.2,108,3108
,141.3,115,3182
,177.8,150,3251
,223.9,221,3315
,281.8,261,3498
,354.8,305,3599
,446.7,421,3511
,562.3,542,3381
,707.9,734,3199
,891.3,894,2693
,1122,1136,2266
,1413,1565,1627
,1778,1992,912
,2239,2545,509
,2818,3234,237
,3548,3867,91
,4467,4539,33
,5623,4921,21
,7079,5076,7
,8913,5046,8
,11220,4899,1
,14130,4692,1
,17780,4072,1
,22390,3394,0
,28180,2721,1
,35480,2001,0
,44670,1488,1
,56230,1082,0
,70790,652,0
,89130,457,0
,112200,248,0
,141300,107,0
,177800,45,0
,223900,20,0
,281800,8,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,1,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,160
,7.079,0,297
,8.913,0,288
,11.22,0,619
,14.13,0,575
,17.78,8,882
,22.39,23,1015
,28.18,26,1261
,35.48,33,1466
,44.67,46,1948
,56.23,62,2131
,70.79,66,2580
,89.13,94,2883
,112.2,111,3126
,141.3,115,3299
,177.8,163,3712
,223.9,218,3835
,281.8,271,4219
,354.8,347,4099
,446.7,443,3816
,562.3,536,3507
,707.9,736,2963
,891.3,884,2391
,1122,1037,1793
,1413,1357,1238
,1778,1653,803
,2239,2098,477
,2818,2725,209
,3548,3209,107
,4467,3645,45
,5623,4151,30
,7079,4503,17
,8913,4789,5
,11220,4998,3
,14130,4926,5
,17780,4442,1
,22390,3879,0
,28180,2947,0
,35480,2352,0
,44670,1677,0
,56230,1174,0
,70790,781,0
,89130,447,0
,112200,242,0
,141300,111,0
,177800,60,0
,223900,21,0
,281800,7,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
Ara   10 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,76
,7.079,0,148
,8.913,0,144
,11.22,0,304
,14.13,0,315
,17.78,7,455
,22.39,39,471
,28.18,36,626
,35.48,47,762
,44.67,63,925
,56.23,87,1056
,70.79,102,1344
,89.13,142,1586
,112.2,166,1981
,141.3,237,2168
,177.8,269,2484
,223.9,375,3044
,281.8,417,3261
,354.8,590,3673
,446.7,742,4022
,562.3,927,4402
,707.9,1235,4631
,891.3,1465,4841
,1122,1887,4294
,1413,2383,3437
,1778,2992,2400
,2239,3701,1385
,2818,4589,637
,3548,5172,293
,4467,5793,120
,5623,5913,43
,7079,5517,14
,8913,4698,11
,11220,3713,7
,14130,2705,2
,17780,1833,1
,22390,1191,3
,28180,840,1
,35480,550,0
,44670,425,0
,56230,290,0
,70790,185,0
,89130,104,0
,112200,58,0
,141300,26,0
,177800,15,0
,223900,3,0
,281800,3,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,70
,7.079,0,148
,8.913,0,137
,11.22,0,248
,14.13,0,249
,17.78,12,430
,22.39,41,449
,28.18,60,585
,35.48,60,697
,44.67,86,876
,56.23,103,1035
,70.79,132,1289
,89.13,164,1573
,112.2,197,1859
,141.3,246,2211
,177.8,311,2631
,223.9,378,3284
,281.8,489,3842
,354.8,601,4577
,446.7,845,4870
,562.3,1055,5472
,707.9,1359,5692
,891.3,1696,5500
,1122,2328,4830
,1413,2949,3746
,1778,3583,2361
,2239,4522,1262
,2818,4978,584
,3548,5827,241
,4467,6199,114
,5623,6203,45
,7079,5601,20
,8913,4628,12
,11220,3409,5
,14130,2446,2
,17780,1595,2
,22390,1117,1
,28180,728,1
,35480,522,0
,44670,330,0
,56230,253,0
,70790,205,0
,89130,137,0
,112200,65,0
,141300,37,0
,177800,15,0
,223900,2,0
,281800,2,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,54
,7.079,0,128
,8.913,0,120
,11.22,0,247
,14.13,0,264
,17.78,17,329
,22.39,36,449
,28.18,47,547
,35.48,53,661
,44.67,74,791
,56.23,83,1035
,70.79,128,1338
,89.13,159,1524
,112.2,164,1896
,141.3,218,2271
,177.8,298,2684
,223.9,386,3272
,281.8,512,3644
,354.8,600,4388
,446.7,783,4983
,562.3,1091,5485
,707.9,1321,5760
,891.3,1695,5611
,1122,2176,5048
,1413,2765,3680
,1778,3494,2361
,2239,4292,1344
,2818,4915,616
,3548,5708,266
,4467,5984,128
,5623,6094,56
,7079,5525,18
,8913,4621,14
,11220,3532,6
,14130,2534,1
,17780,1697,1
,22390,1178,2
,28180,820,1
,35480,528,1
,44670,419,0
,56230,277,1
,70790,204,0
,89130,134,0
,112200,73,0
,141300,40,0
,177800,16,0
,223900,13,0
,281800,4,0
,354800,2,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,1,0
Ara    1 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,29
,7.079,0,48
,8.913,0,47
,11.22,0,99
,14.13,0,103
,17.78,20,153
,22.39,87,167
,28.18,112,202
,35.48,111,273
,44.67,149,326
,56.23,173,395
,70.79,213,485
,89.13,265,605
,112.2,390,738
,141.3,458,924
,177.8,646,1142
,223.9,765,1432
,281.8,1055,1816
,354.8,1394,2245
,446.7,1871,2806
,562.3,2314,3513
,707.9,2960,4610
,891.3,3853,5635
,1122,4733,6936
,1413,5701,7716
,1778,6237,7599
,2239,6357,6066
,2818,6226,3931
,3548,5301,1976
,4467,4063,742
,5623,2806,186
,7079,1730,64
,8913,995,31
,11220,583,13
,14130,406,3
,17780,231,3
,22390,159,2
,28180,89,2
,35480,47,0
,44670,42,0
,56230,14,0
,70790,9,0
,89130,7,0
,112200,4,0
,141300,2,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,2,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,25
,7.079,0,44
,8.913,0,51
,11.22,0,90
,14.13,0,87
,17.78,26,110
,22.39,67,135
,28.18,80,180
,35.48,116,242
,44.67,142,289
,56.23,182,370
,70.79,220,452
,89.13,280,534
,112.2,365,753
,141.3,509,935
,177.8,670,1113
,223.9,859,1503
,281.8,1085,1982
,354.8,1406,2498
,446.7,1865,3360
,562.3,2461,4326
,707.9,3133,5653
,891.3,4092,7004
,1122,5060,8256
,1413,6015,8281
,1778,6696,7052
,2239,6571,4846
,2818,5945,2521
,3548,4934,1089
,4467,3714,419
,5623,2311,138
,7079,1461,37
,8913,852,17
,11220,512,10
,14130,352,3
,17780,207,3
,22390,126,2
,28180,76,0
,35480,41,0
,44670,33,0
,56230,22,0
,70790,14,1
,89130,4,0
,112200,5,0
,141300,1,0
,177800,2,0
,223900,0,0
,281800,1,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,24
,7.079,0,39
,8.913,0,42
,11.22,0,75
,14.13,0,71
,17.78,29,109
,22.39,59,121
,28.18,75,188
,35.48,113,234
,44.67,137,279
,56.23,178,339
,70.79,206,408
,89.13,253,502
,112.2,375,694
,141.3,445,897
,177.8,612,1066
,223.9,769,1396
,281.8,1021,1833
,354.8,1389,2400
,446.7,1718,3213
,562.3,2244,4179
,707.9,2978,5579
,891.3,3868,6728
,1122,4949,8136
,1413,5685,8147
,1778,6370,7061
,2239,6518,5078
,2818,6156,2880
,3548,5081,1288
,4467,3909,453
,5623,2596,164
,7079,1606,64
,8913,976,23
,11220,600,12
,14130,371,8
,17780,238,4
,22390,162,0
,28180,88,0
,35480,69,1
,44670,34,0
,56230,17,0
,70790,10,0
,89130,3,0
,112200,3,0
,141300,2,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
Ara    0.5 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,20
,7.079,0,45
,8.913,0,33
,11.22,0,88
,14.13,0,68
,17.78,18,120
,22.39,76,153
,28.18,82,175
,35.48,109,231
,44.67,143,307
,56.23,176,319
,70.79,199,454
,89.13,288,584
,112.2,338,727
,141.3,474,943
,177.8,594,1159
,223.9,740,1512
,281.8,1108,1957
,354.8,1354,2558
,446.7,1769,3375
,562.3,2460,4195
,707.9,3071,5337
,891.3,4037,6668
,1122,5047,7600
,1413,6070,7813
,1778,6686,6718
,2239,6514,4611
,2818,6043,2475
,3548,5062,1055
,4467,3636,352
,5623,2301,130
,7079,1282,69
,8913,691,37
,11220,335,10
,14130,182,10
,17780,99,4
,22390,67,2
,28180,39,0
,35480,28,1
,44670,9,0
,56230,4,0
,70790,2,0
,89130,1,0
,112200,0,0
,141300,1,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,27
,7.079,0,50
,8.913,0,44
,11.22,0,103
,14.13,0,84
,17.78,25,130
,22.39,70,169
,28.18,91,185
,35.48,130,234
,44.67,172,314
,56.23,209,372
,70.79,246,483
,89.13,309,624
,112.2,418,782
,141.3,517,916
,177.8,704,1265
,223.9,891,1668
,281.8,1152,2095
,354.8,1568,2767
,446.7,2082,3657
,562.3,2820,4559
,707.9,3754,5828
,891.3,4585,7195
,1122,5596,8003
,1413,6437,7680
,1778,6763,5911
,2239,6340,3755
,2818,5306,1918
,3548,4075,789
,4467,2691,287
,5623,1655,107
,7079,875,42
,8913,431,34
,11220,238,8
,14130,115,5
,17780,65,1
,22390,35,1
,28180,20,0
,35480,14,0
,44670,4,0
,56230,4,0
,70790,4,0
,89130,0,0
,112200,1,0
,141300,1,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,1,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,11
,7.079,0,44
,8.913,0,40
,11.22,0,66
,14.13,0,63
,17.78,26,116
,22.39,67,125
,28.18,97,158
,35.48,109,214
,44.67,137,221
,56.23,188,307
,70.79,220,414
,89.13,267,547
,112.2,367,685
,141.3,476,874
,177.8,660,1088
,223.9,864,1471
,281.8,1058,1899
,354.8,1471,2509
,446.7,1885,3237
,562.3,2585,4230
,707.9,3288,5474
,891.3,4238,6729
,1122,5165,7713
,1413,5891,7701
,1778,6473,6288
,2239,6384,4359
,2818,5665,2389
,3548,4401,978
,4467,3068,371
,5623,1851,140
,7079,1051,59
,8913,504,28
,11220,278,10
,14130,121,11
,17780,73,4
,22390,50,0
,28180,25,0
,35480,12,1
,44670,11,0
,56230,5,0
,70790,4,0
,89130,5,0
,112200,0,0
,141300,0,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
Ara    0.1 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,22
,7.079,0,37
,8.913,0,63
,11.22,0,97
,14.13,0,91
,17.78,18,141
,22.39,58,171
,28.18,75,193
,35.48,89,246
,44.67,143,307
,56.23,161,392
,70.79,163,492
,89.13,277,749
,112.2,328,790
,141.3,415,1033
,177.8,548,1345
,223.9,698,1694
,281.8,929,2151
,354.8,1274,2701
,446.7,1685,3530
,562.3,2276,4479
,707.9,2866,5418
,891.3,3803,6249
,1122,4600,6959
,1413,5559,6631
,1778,6434,5564
,2239,6626,3868
,2818,6484,1999
,3548,5582,860
,4467,4166,275
,5623,2661,107
,7079,1379,41
,8913,590,19
,11220,197,16
,14130,80,4
,17780,36,1
,22390,15,0
,28180,5,0
,35480,2,0
,44670,3,0
,56230,0,0
,70790,0,0
,89130,1,0
,112200,0,0
,141300,0,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,27
,7.079,0,49
,8.913,0,48
,11.22,0,89
,14.13,0,86
,17.78,31,134
,22.39,87,180
,28.18,111,196
,35.48,136,276
,44.67,164,350
,56.23,200,425
,70.79,255,591
,89.13,351,701
,112.2,452,876
,141.3,559,1175
,177.8,685,1447
,223.9,975,1863
,281.8,1278,2456
,354.8,1677,3131
,446.7,2238,4067
,562.3,2930,4991
,707.9,3921,6270
,891.3,4964,7442
,1122,6244,7965
,1413,6888,7477
,1778,7331,5791
,2239,6822,3611
,2818,5716,1904
,3548,4362,719
,4467,2703,272
,5623,1569,99
,7079,716,48
,8913,267,15
,11220,114,16
,14130,41,5
,17780,17,2
,22390,9,1
,28180,1,0
,35480,4,0
,44670,1,0
,56230,0,0
,70790,1,0
,89130,0,0
,112200,0,0
,141300,1,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,34
,7.079,0,46
,8.913,0,49
,11.22,0,87
,14.13,0,99
,17.78,26,128
,22.39,67,173
,28.18,89,200
,35.48,109,222
,44.67,150,349
,56.23,192,442
,70.79,215,520
,89.13,288,712
,112.2,365,832
,141.3,472,1133
,177.8,597,1338
,223.9,764,1808
,281.8,1085,2306
,354.8,1355,3036
,446.7,1888,3793
,562.3,2478,4767
,707.9,3275,5774
,891.3,4155,6928
,1122,5255,7517
,1413,6260,7375
,1778,6919,5678
,2239,7079,3692
,2818,6370,1827
,3548,5217,758
,4467,3773,288
,5623,2106,102
,7079,1079,38
,8913,498,27
,11220,172,15
,14130,69,8
,17780,28,1
,22390,4,1
,28180,5,0
,35480,4,1
,44670,0,0
,56230,1,0
,70790,1,0
,89130,0,0
,112200,1,0
,141300,0,0
,177800,1,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
Ara    0 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,19
,7.079,0,40
,8.913,0,47
,11.22,0,101
,14.13,0,88
,17.78,24,124
,22.39,68,140
,28.18,86,192
,35.48,97,244
,44.67,127,270
,56.23,153,352
,70.79,224,445
,89.13,263,580
,112.2,336,731
,141.3,439,974
,177.8,627,1213
,223.9,720,1605
,281.8,1054,1934
,354.8,1340,2565
,446.7,1784,3302
,562.3,2360,4140
,707.9,3198,5188
,891.3,4111,6239
,1122,5132,6793
,1413,6040,6917
,1778,6552,5957
,2239,6517,4010
,2818,5928,2120
,3548,4687,850
,4467,3248,301
,5623,1839,131
,7079,855,46
,8913,349,20
,11220,112,9
,14130,35,4
,17780,11,1
,22390,3,3
,28180,1,2
,35480,1,2
,44670,2,0
,56230,0,0
,70790,0,0
,89130,0,0
,112200,0,0
,141300,0,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,18
,7.079,0,34
,8.913,0,32
,11.22,0,61
,14.13,0,81
,17.78,26,112
,22.39,70,142
,28.18,103,159
,35.48,107,191
,44.67,150,237
,56.23,201,325
,70.79,268,426
,89.13,343,507
,112.2,456,641
,141.3,626,825
,177.8,694,1039
,223.9,920,1439
,281.8,1181,1855
,354.8,1524,2331
,446.7,2152,2992
,562.3,2807,3885
,707.9,3736,4767
,891.3,4694,6243
,1122,5830,7213
,1413,6612,7768
,1778,7252,7284
,2239,6902,5590
,2818,5843,3403
,3548,4186,1597
,4467,2679,554
,5623,1421,159
,7079,658,51
,8913,249,18
,11220,77,14
,14130,18,7
,17780,6,0
,22390,3,0
,28180,2,0
,35480,0,1
,44670,0,0
,56230,1,0
,70790,1,0
,89130,0,0
,112200,0,0
,141300,0,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,1,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,28
,7.079,0,49
,8.913,0,53
,11.22,0,80
,14.13,0,84
,17.78,21,131
,22.39,70,131
,28.18,90,147
,35.48,103,236
,44.67,125,277
,56.23,178,301
,70.79,238,384
,89.13,294,550
,112.2,330,703
,141.3,497,884
,177.8,640,1092
,223.9,830,1301
,281.8,1053,1770
,354.8,1545,2210
,446.7,1883,2731
,562.3,2466,3480
,707.9,3411,4266
,891.3,4312,5217
,1122,5429,6135
,1413,6320,6705
,1778,6860,6735
,2239,6745,5579
,2818,5892,3618
,3548,4541,1869
,4467,2920,724
,5623,1525,202
,7079,697,63
,8913,253,19
,11220,56,8
,14130,17,1
,17780,6,7
,22390,1,0
,28180,2,0
,35480,3,1
,44670,1,0
,56230,1,0
,70790,0,0
,89130,0,0
,112200,0,0
,141300,1,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
