Id,BinCount_GFP_MEFL,BinCount_RFP_MEFL,GeoMean_GFP_MEFL,GeoMean_RFP_MEFL,GeoStdDev_GFP_MEFL,GeoStdDev_RFP_MEFL,GMM_Component1_Mean_GFP_MEFL,GMM_Component2_Mean_GFP_MEFL,GMM_Component1_Mean_RFP_MEFL,GMM_Component2_Mean_RFP_MEFL,GMM_Component1_Std_GFP_MEFL,GMM_Component2_Std_GFP_MEFL,GMM_Component1_Std_RFP_MEFL,GMM_Component2_Std_RFP_MEFL,GMM_Component1_Weight_GFP_MEFL,GMM_Component2_Weight_GFP_MEFL,GMM_Component1_Weight_RFP_MEFL,GMM_Component2_Weight_RFP_MEFL,On Fraction,Off Fraction
Ara 1000 uM,45547,47843,50510,93.21,2.632,3.288,10185.9138805412,62086.9034230064,9.69393269300256,100.69316688518,3.03249434732963,1.16407242066005,1.03311817052157,1.74060409130319,0.1144,0.8856,0.03249,0.9675,1,0
,47667,49733,43920,93.67,2.985,3.384,3845.91782045354,57016.4272280748,98.627948563121,98.627948563121,3.16154960265229,1.15515430242647,1.82725853869977,1.82725853869977,0.09684,0.9032,0.5,0.5,1,0
,45230,44746,46420,110.3,3.054,3.505,5069.90708274704,60813.5001278718,8.25467539811731,114.551294144554,3.45700493886872,1.17839258212882,1.0133745659319,1.90809502852819,0.1084,0.8916,0.01449,0.9855,1,0
Ara  100 uM,63683,58007,13810,111.2,4.287,3.849,4036.45392967605,26485.001386067,117.489755493953,117.489755493953,2.82813411104747,1.37847851001647,2.10039028082143,2.10039028082143,0.3464,0.6536,0.5,0.5,1,0
,64610,59069,12890,120.8,4.185,3.711,6208.69034230064,33342.6412763235,127.057410520854,127.057410520854,2.37082773954628,1.25368953307947,2.01650823539213,2.01650823539213,0.5659,0.4341,0.5,0.5,1,0
,62970,57312,14640,123.6,4.079,3.593,4487.45389933132,27101.9163189084,129.717927098396,129.717927098396,2.66256365851297,1.36332688768635,1.94580806890957,1.94580806890957,0.3427,0.6573,0.5,0.5,1,0
Ara   50 uM,62689,56552,7078,193,3.729,3.921,1945.36008162266,10139.1138573668,110.662378397767,685.488226452661,2.60735400445539,1.54525443953841,1.90064059086525,1.20101933751652,0.2175,0.7825,0.695,0.305,1,0
,63888,57267,7012,184,3.462,3.841,1352.07256319428,8609.93752184601,98.627948563121,601.173737483278,2.64911004851627,1.59257538887104,1.81718858478441,1.23140241220622,0.1108,0.8892,0.6548,0.3452,1,0
,61413,55805,7653,195.5,3.601,3.534,2032.35701093622,10690.5487922266,54.4502652842421,347.536161443206,2.61216135439921,1.50487351880251,1.50106673257037,1.42495122818881,0.2006,0.7994,0.3105,0.6895,1,0
Ara   10 uM,61532,55367,3994,377.4,3.258,3.451,2471.72414501613,5296.63443891658,169.824365246174,776.247116628692,2.79962588310584,1.29717927098396,1.94043902355183,1.20661855645736,0.3702,0.6298,0.474,0.526,1,0
,65516,60950,3654,396.8,3.254,3.213,2317.39464996848,4634.46919736288,160.324539069004,693.425806016569,2.99985318119079,1.31189778860963,1.91557870298695,1.21915802019547,0.3437,0.6563,0.3807,0.6193,1,0
,64711,61025,3773,406,3.272,3.177,2523.48077248058,4808.39348449728,179.060585403529,719.4489780037,2.88868376095903,1.30526892880865,1.90283004431997,1.20475850253495,0.3762,0.6238,0.4113,0.5887,1,0
Ara    1 uM,62580,63063,1638,895.3,2.91,2.873,1386.75582887189,1386.75582887189,319.153785510076,1380.38426460289,1.62854588682907,1.62854588682907,1.92176376292193,1.14451107622797,0.5,0.5,0.2957,0.7043,1,0
,62513,64411,1555,828.3,2.849,2.662,1358.31344658715,1358.31344658715,303.389118419427,1177.60597352081,1.58927846988247,1.58927846988247,1.8638029723462,1.14427392072914,0.5,0.5,0.2589,0.7411,1,0
,61912,63735,1635,859.8,2.863,2.647,1399.58732257262,1399.58732257262,311.888958409394,1202.26443461741,1.59734968335354,1.59734968335354,1.8810485289187,1.14968800427216,0.5,0.5,0.2489,0.7511,1,0
Ara    0.5 uM,61135,61915,1525,816,2.737,2.688,1348.96288259165,1348.96288259165,319.88951096914,1174.89755493953,1.53886314981995,1.53886314981995,1.86852967725585,1.14672689910792,0.5,0.5,0.2806,0.7194,1,0
,60414,62092,1327,758.3,2.711,2.68,1205.0359403718,1205.0359403718,288.403150312661,1081.43395129794,1.50730104416313,1.50730104416313,1.88712209711709,1.1493703776207,0.5,0.5,0.2676,0.7324,1,0
,59040,60574,1416,822.9,2.727,2.623,1261.82753459067,1261.82753459067,323.593656929628,1153.45325782109,1.51390979891982,1.51390979891982,1.84841719536966,1.14855024819994,0.5,0.5,0.2654,0.7346,1,0
Ara    0.1 uM,60226,58735,1592,734.2,2.662,2.779,1386.75582887189,1386.75582887189,277.332010465184,1086.42562361707,1.50868995924996,1.50868995924996,1.86122981126794,1.16404561721061,0.5,0.5,0.2868,0.7132,1,0
,63821,64795,1287,718.4,2.637,2.705,1191.24200802738,1191.24200802738,283.791902844156,1044.7202192208,1.47672626739858,1.47672626739858,1.8352701456751,1.15520750047293,0.5,0.5,0.287,0.713,1,0
,62412,62104,1477,725.5,2.651,2.731,1324.34153519466,1324.34153519466,287.078058202469,1059.25372517729,1.49313817777069,1.49313817777069,1.85866020268854,1.15685785563176,0.5,0.5,0.2903,0.7097,1,0
Ara    0 uM,58323,57699,1428,771.1,2.615,2.741,1300.16957803329,1300.16957803329,297.851642942919,1129.7959146728,1.47400854097381,1.47400854097381,1.86637969083467,1.15456928557768,0.5,0.5,0.287,0.713,1,0
,61799,62001,1293,894.1,2.621,2.68,1202.26443461741,1202.26443461741,338.064836205982,1294.19584144999,1.47095707679698,1.47095707679698,1.81050613172181,1.14759857420548,0.5,0.5,0.2755,0.7245,1,0
,59356,57771,1362,893.2,2.592,2.843,1250.25903021772,1250.25903021772,328.095293113119,1361.44468246595,1.45680022546016,1.45680022546016,1.87974959531556,1.15725748919002,0.5,0.5,0.2953,0.7047,1,0
